"","rankplace","cutoff_average","quality_average","distance_average","cutoff_sd","quality_sd","distance_sd"
"1",1,284.582540558437,311.154776537061,35.2264275191089,59.7053224925484,52.9649940199825,52.7773775107725
"2",2,277.786079836233,303.682819843893,33.9148913947815,51.4300778046974,44.7333002349438,48.1540043880191
"3",3,262.639562237905,289.920953550202,28.4010210441535,43.9850590864988,37.4932511837102,42.7915454162007
"4",4,249.449816305792,278.430201244997,22.7331459458787,38.0691563217534,31.9119144394208,38.4533445472336
"5",5,210.37532199897,251.90853825977,31.7753898489715,8.18540244295798,12.8834696873967,29.1929914849398
"6",6,210.329742876998,249.486197691414,31.1934529800593,8.58246456168823,11.203426237345,28.5280537824164
