"","quartile","cutoff_average","quality_average","distance_average","cutoff_sd","quality_sd","distance_sd"
"1",4,337.100301680793,357.290312916339,38.5203135462502,39.3390897517621,35.1578365032269,46.2926983495699
"2",3,275.778429006493,301.66572609087,31.2885064881267,29.0457086165732,23.062840611088,47.3380987562825
"3",2,242.766161006723,272.861425829027,28.4710225009997,23.5369224804681,17.5610185829747,48.1766882052017
"4",1,217.657415388151,252.22491509904,25.7570842592439,14.727016572494,12.5696173190242,43.1010475446751
